Time,Phase,Pressure,Altitude,Heading,Roll,Pitch,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
1765365837.43,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.31,-5.22,-0.00,-0.00,0.00,32.25,30.75,-7.56
1765365837.55,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.31,-5.21,0.00,-0.00,-0.00,33.69,30.38,-9.19
1765365837.67,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.30,-5.25,0.00,0.00,-0.00,34.50,30.75,-8.00
1765365837.78,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.31,-5.23,0.00,0.00,0.00,33.00,23.06,-8.88
1765365837.89,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.32,-5.20,0.00,0.00,-0.00,33.00,30.75,-7.56
1765365838.00,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.32,-5.24,0.00,0.00,0.00,33.00,31.06,-8.00
1765365838.12,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.31,-5.20,0.00,0.00,-0.00,33.25,31.06,-8.38
1765365838.23,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.32,-5.22,-0.00,-0.00,0.00,32.56,30.38,-8.38
1765365838.35,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.30,-5.24,0.00,0.00,0.00,33.69,30.75,-8.88
1765365838.46,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.22,0.00,0.00,0.00,33.25,30.75,-8.38
1765365838.57,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.24,-0.00,0.00,0.00,32.25,31.50,-7.19
1765365838.69,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.22,-0.00,-0.00,0.00,31.88,30.75,-7.19
1765365838.80,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.32,-5.19,-0.00,-0.00,0.00,33.00,30.75,-8.38
1765365838.92,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.30,-5.22,-0.00,-0.00,0.00,31.88,31.50,-7.19
1765365839.03,0,0.00,0.00,1.75,-2.00,122.00,-0.27,-8.30,-5.21,-0.00,-0.00,-0.00,33.25,30.75,-8.38
1765365839.15,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.31,-5.22,0.00,-0.00,-0.00,32.56,30.75,-7.19
1765365839.26,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.32,-5.24,0.00,-0.00,0.00,33.25,30.38,-8.88
1765365839.37,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.33,-5.24,0.00,0.00,-0.00,34.75,28.88,-8.38
1765365839.49,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.21,-0.00,-0.00,0.00,34.50,30.06,-7.56
1765365839.61,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.30,-5.22,0.00,-0.00,0.00,33.69,30.38,-8.00
1765365839.72,0,0.00,0.00,1.75,-2.00,122.00,-0.27,-8.31,-5.21,0.00,0.00,-0.00,33.69,30.75,-6.75
1765365839.84,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.31,-5.24,0.00,0.00,0.00,34.06,29.69,-7.19
1765365839.95,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.33,-5.21,0.00,0.00,-0.00,33.69,30.06,-8.00
1765365840.07,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.31,-5.19,0.00,0.00,-0.00,33.69,30.75,-7.56
1765365840.18,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.25,-0.00,-0.00,-0.00,31.06,31.50,-8.38
1765365840.30,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.32,-5.22,0.00,-0.00,0.00,32.25,30.38,-7.19
1765365840.41,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.30,-5.19,0.00,-0.00,0.00,32.25,31.06,-8.00
1765365840.52,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.31,-5.19,-0.00,0.00,0.00,32.25,31.50,-8.00
1765365840.63,0,0.00,0.00,1.75,-2.00,122.00,-0.28,-8.30,-5.22,-0.00,0.00,-0.00,32.56,30.06,-8.38
1765365840.75,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.31,-5.20,-0.00,-0.00,0.00,34.06,31.06,-7.19
1765365840.86,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.21,-0.00,0.00,0.00,33.00,31.50,-8.00
1765365840.97,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.32,-5.22,0.00,-0.00,0.00,33.69,30.75,-8.38
1765365841.09,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.32,-5.18,0.00,-0.00,0.00,31.50,30.38,-8.00
1765365841.20,0,0.00,0.00,1.75,-2.00,122.00,-0.32,-8.31,-5.20,0.00,0.00,0.00,31.88,30.75,-7.56
1765365841.31,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.30,-5.22,0.00,0.00,0.00,31.88,29.69,-8.00
1765365841.43,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.20,-0.00,-0.00,-0.00,32.56,30.06,-9.25
1765365841.54,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.33,-5.21,0.00,-0.00,0.00,31.50,30.38,-8.38
1765365841.65,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.31,-5.19,-0.00,0.00,0.00,32.25,30.75,-8.00
1765365841.77,0,0.00,0.00,1.75,-2.00,122.00,-0.32,-8.29,-5.17,0.00,-0.00,0.00,32.56,31.50,-9.25
1765365841.88,0,0.00,0.00,1.75,-2.00,122.00,-0.32,-8.31,-5.19,0.00,0.00,0.00,32.25,30.38,-8.88
1765365841.99,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.32,-5.20,0.00,0.00,-0.00,32.25,31.50,-6.75
1765365842.11,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.32,-5.19,-0.00,0.00,0.00,32.56,29.69,-7.19
1765365842.22,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.21,-0.00,-0.00,0.00,33.69,30.75,-8.50
1765365842.34,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.32,-5.21,0.00,0.00,-0.00,33.25,31.06,-8.00
1765365842.45,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.33,-5.21,-0.00,0.00,0.00,33.00,31.06,-7.19
1765365842.56,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.30,-5.19,-0.00,0.00,0.00,30.75,31.50,-8.88
1765365842.68,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.32,-5.19,0.00,0.00,0.00,33.25,31.50,-8.88
1765365842.79,0,0.00,0.00,1.75,-2.00,122.00,-0.32,-8.31,-5.19,-0.00,-0.00,0.00,31.88,31.06,-9.69
1765365842.90,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.32,-5.22,-0.00,0.00,0.00,32.56,31.50,-7.56
1765365843.01,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.30,-5.18,0.00,0.00,0.00,31.06,30.38,-9.69
1765365843.13,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.19,-0.00,0.00,0.00,31.88,30.38,-7.56
1765365843.24,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.32,-5.22,0.00,0.00,0.00,31.88,31.50,-7.56
1765365843.36,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.31,-5.20,-0.00,0.00,-0.00,32.56,30.38,-7.56
1765365843.47,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.20,-0.00,-0.00,-0.00,32.56,31.06,-8.00
1765365843.58,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.31,-5.19,0.00,-0.00,0.00,31.88,31.06,-8.00
1765365843.70,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.30,-5.21,0.00,0.00,0.00,31.88,30.75,-8.88
1765365843.81,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.31,-5.20,0.00,0.00,0.00,33.25,30.75,-8.50
1765365843.93,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.31,-5.20,0.00,0.00,0.00,32.25,31.06,-8.88
1765365844.04,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.31,-5.19,-0.01,0.00,0.00,32.25,30.38,-8.00
1765365844.15,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.31,-5.22,-0.00,0.00,-0.00,34.06,31.50,-8.00
1765365844.27,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.34,-5.20,0.00,-0.00,0.00,32.25,31.06,-8.50
1765365844.38,0,0.00,0.00,1.75,-2.00,122.00,-0.28,-8.33,-5.19,-0.00,0.00,-0.00,34.75,30.38,-8.00
1765365844.49,0,0.00,0.00,1.75,-2.00,122.00,-0.27,-8.32,-5.21,-0.00,-0.00,0.00,32.56,29.69,-8.00
1765365844.61,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.19,-0.00,0.00,-0.00,32.25,30.75,2040.00
1765365844.72,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.23,-0.00,0.00,-0.00,33.69,30.75,-7.56
1765365844.84,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.21,0.00,-0.00,-0.00,33.00,30.06,-8.50
1765365844.95,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.31,-5.20,0.00,-0.00,-0.00,33.00,30.75,-7.56
1765365845.07,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.33,-5.18,-0.00,0.00,0.00,34.75,30.38,-8.88
1765365845.18,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.20,-0.00,0.00,-0.00,32.56,31.06,-8.50
1765365845.30,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.30,-5.19,0.00,-0.00,0.00,33.25,29.69,-8.88
1765365845.41,0,0.00,0.00,1.75,-2.00,121.94,-0.28,-8.32,-5.22,-0.01,-0.00,0.00,34.75,29.69,-9.25
1765365845.53,0,0.00,0.00,1.75,-2.00,121.94,-0.32,-8.32,-5.21,0.00,-0.00,0.00,33.25,30.38,-8.88
1765365845.64,0,0.00,0.00,1.75,-2.00,121.94,-0.29,-8.32,-5.24,-0.01,-0.00,0.00,34.06,30.06,-8.50
1765365845.76,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.37,-5.16,0.00,0.00,-0.00,34.06,30.06,-8.50
1765365845.87,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.32,-5.20,-0.00,-0.00,0.00,33.25,30.06,-8.50
1765365845.99,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.33,-5.21,-0.00,-0.00,0.00,32.25,30.06,-8.00
1765365846.10,0,0.00,0.00,1.75,-2.00,122.00,-0.32,-8.31,-5.19,-0.00,-0.00,0.00,32.56,30.38,-8.00
1765365846.21,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.32,-5.20,-0.00,-0.00,0.00,33.69,31.06,-6.38
1765365846.32,0,0.00,0.00,1.75,-2.00,122.00,-0.33,-8.31,-5.21,-0.01,-0.00,-0.00,32.56,30.38,-7.19
1765365846.44,0,0.00,0.00,1.75,-2.00,122.00,-0.30,-8.30,-5.25,0.00,0.00,0.00,32.25,30.75,-8.00
1765365846.55,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.32,-5.21,0.00,0.00,-0.00,33.69,30.38,-8.00
1765365846.67,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.30,-5.17,0.00,0.00,0.00,34.50,30.75,-7.69
1765365846.78,0,0.00,0.00,1.75,-2.00,122.00,-0.29,-8.32,-5.20,0.00,0.00,0.00,32.25,30.75,-7.69
1765365846.89,0,0.00,0.00,1.75,-2.00,122.00,-0.28,-8.31,-5.19,0.00,-0.00,0.00,31.88,29.69,-8.88
1765365847.01,0,0.00,0.00,1.75,-2.00,122.00,-0.31,-8.32,-5.23,0.00,0.00,-0.00,32.56,30.38,-8.00
