Time,Lat,Lon,Heading,TargetDist,TargetBear,MotorL,MotorR,Fix
1765784873.04,0,0,0.00,0.00,0.00,0.00,0.00,0
1765784874.07,0,0,0.00,0.00,0.00,0.00,0.00,0
1765784875.09,0,0,0.00,0.00,0.00,0.00,0.00,0
1765784876.11,0,0,0.00,0.00,0.00,0.00,0.00,0
1765784877.14,0,0,359.94,0.00,0.00,0.00,0.00,0
1765784878.16,0,0,359.94,0.00,0.00,0.00,0.00,0
1765784879.19,0,0,359.94,0.00,0.00,0.00,0.00,0
1765784880.22,0,0,0.00,0.00,0.00,0.00,0.00,0
1765784881.24,0,0,47.06,0.00,0.00,0.00,0.00,0
1765784882.26,0,0,49.00,0.00,0.00,0.00,0.00,0
1765784883.28,0,0,6.19,0.00,0.00,0.00,0.00,0
1765784884.31,0,0,42.31,0.00,0.00,0.00,0.00,0
1765784885.33,0,0,62.94,0.00,0.00,0.00,0.00,0
1765784886.35,0,0,79.00,0.00,0.00,0.00,0.00,0
1765784887.37,0,0,79.38,0.00,0.00,0.00,0.00,0
1765784888.39,0,0,32.69,0.00,0.00,0.00,0.00,0
1765784889.41,0,0,13.88,0.00,0.00,0.00,0.00,0
1765784890.44,0,0,24.75,0.00,0.00,0.00,0.00,0
1765784891.46,0,0,23.75,0.00,0.00,0.00,0.00,0
1765784892.48,0,0,20.00,0.00,0.00,0.00,0.00,0
1765784893.50,0,0,1.56,0.00,0.00,0.00,0.00,0
1765784894.52,0,0,0.44,0.00,0.00,0.00,0.00,0
1765784895.55,0,0,356.50,0.00,0.00,0.00,0.00,0
1765784896.57,0,0,7.06,0.00,0.00,0.00,0.00,0
1765784897.59,0,0,12.31,0.00,0.00,0.00,0.00,0
1765784898.62,0,0,10.19,0.00,0.00,0.00,0.00,0
1765784899.64,0,0,12.94,0.00,0.00,0.00,0.00,0
1765784900.66,0,0,33.38,0.00,0.00,0.00,0.00,0
1765784901.68,0,0,35.75,0.00,0.00,0.00,0.00,0
1765784902.71,0,0,9.25,0.00,0.00,0.00,0.00,0
1765784903.73,0,0,14.88,0.00,0.00,0.00,0.00,0
1765784904.75,0,0,17.44,0.00,0.00,0.00,0.00,0
1765784905.77,0,0,21.75,0.00,0.00,0.00,0.00,0
1765784906.79,0,0,17.69,0.00,0.00,0.00,0.00,0
1765784907.82,0,0,19.62,0.00,0.00,0.00,0.00,0
1765784908.84,0,0,23.19,0.00,0.00,0.00,0.00,0
1765784909.86,0,0,28.62,0.00,0.00,0.00,0.00,0
1765784910.88,0,0,342.94,0.00,0.00,0.00,0.00,0
1765784911.90,0,0,335.19,0.00,0.00,0.00,0.00,0
1765784912.93,0,0,350.44,0.00,0.00,0.00,0.00,0
1765784913.95,0,0,341.75,0.00,0.00,0.00,0.00,0
1765784914.97,0,0,303.69,0.00,0.00,0.00,0.00,0
1765784915.99,0,0,31.56,0.00,0.00,0.00,0.00,0
1765784917.01,0,0,122.62,0.00,0.00,0.00,0.00,0
1765784918.03,0,0,124.69,0.00,0.00,0.00,0.00,0
1765784919.06,0,0,342.62,0.00,0.00,0.00,0.00,0
1765784920.08,0,0,254.69,0.00,0.00,0.00,0.00,0
1765784921.10,0,0,324.38,0.00,0.00,0.00,0.00,0
1765784922.12,0,0,24.50,0.00,0.00,0.00,0.00,0
1765784923.14,0,0,40.81,0.00,0.00,0.00,0.00,0
1765784924.17,0,0,40.75,0.00,0.00,0.00,0.00,0
1765784925.19,0,0,28.88,0.00,0.00,0.00,0.00,0
1765784926.21,0,0,47.31,0.00,0.00,0.00,0.00,0
1765784927.23,0,0,80.62,0.00,0.00,0.00,0.00,0
1765784928.25,0,0,115.69,0.00,0.00,0.00,0.00,0
1765784929.27,0,0,120.62,0.00,0.00,0.00,0.00,0
1765784930.30,0,0,116.44,0.00,0.00,0.00,0.00,0
1765784931.32,0,0,113.00,0.00,0.00,0.00,0.00,0
1765784932.34,0,0,107.12,0.00,0.00,0.00,0.00,0
1765784933.37,0,0,95.69,0.00,0.00,0.00,0.00,0
1765784934.39,0,0,161.44,0.00,0.00,0.00,0.00,0
1765784935.41,0,0,199.25,0.00,0.00,0.00,0.00,0
1765784936.44,0,0,84.31,0.00,0.00,0.00,0.00,0
1765784937.46,0,0,20.38,0.00,0.00,0.00,0.00,0
1765784938.49,0,0,7.75,0.00,0.00,0.00,0.00,0
1765784939.50,0,0,5.56,0.00,0.00,0.00,0.00,0
1765784940.52,0,0,13.31,0.00,0.00,0.00,0.00,0
1765784941.55,0,0,20.19,0.00,0.00,0.00,0.00,0
1765784942.57,0,0,16.38,0.00,0.00,0.00,0.00,0
1765784943.60,0,0,354.06,0.00,0.00,0.00,0.00,0
1765784944.62,0,0,28.06,0.00,0.00,0.00,0.00,0
1765784945.64,0,0,42.69,0.00,0.00,0.00,0.00,0
1765784946.66,0,0,38.31,0.00,0.00,0.00,0.00,0
1765784947.69,0,0,40.31,0.00,0.00,0.00,0.00,0
1765784948.71,0,0,55.88,0.00,0.00,0.00,0.00,0
1765784949.73,0,0,78.69,0.00,0.00,0.00,0.00,0
1765784950.75,0,0,87.25,0.00,0.00,0.00,0.00,0
1765784951.77,0,0,106.81,0.00,0.00,0.00,0.00,0
1765784952.79,0,0,91.38,0.00,0.00,0.00,0.00,0
1765784953.82,0,0,79.81,0.00,0.00,0.00,0.00,0
1765784954.84,0,0,71.38,0.00,0.00,0.00,0.00,0
1765784955.86,0,0,42.06,0.00,0.00,0.00,0.00,0
1765784956.88,0,0,26.31,0.00,0.00,0.00,0.00,0
1765784957.95,0,0,20.31,0.00,0.00,0.00,0.00,0
1765784958.98,0,0,30.44,0.00,0.00,0.00,0.00,0
1765784960.00,0,0,30.31,0.00,0.00,0.00,0.00,0
1765784961.02,0,0,35.00,0.00,0.00,0.00,0.00,0
1765784962.04,0,0,43.06,0.00,0.00,0.00,0.00,0
1765784963.06,0,0,40.38,0.00,0.00,0.00,0.00,0
1765784964.09,0,0,67.38,0.00,0.00,0.00,0.00,0
1765784965.11,0,0,143.44,0.00,0.00,0.00,0.00,0
1765784966.13,0,0,148.50,0.00,0.00,0.00,0.00,0
1765784967.15,0,0,135.56,0.00,0.00,0.00,0.00,0
1765784968.18,0,0,138.25,0.00,0.00,0.00,0.00,0
1765784969.20,0,0,152.50,0.00,0.00,0.00,0.00,0
1765784970.22,0,0,150.88,0.00,0.00,0.00,0.00,0
1765784971.25,0,0,139.44,0.00,0.00,0.00,0.00,0
1765784972.27,0,0,141.69,0.00,0.00,0.00,0.00,0
1765784973.29,0,0,141.00,0.00,0.00,0.00,0.00,0
1765784974.31,0,0,128.38,0.00,0.00,0.00,0.00,0
1765784975.33,0,0,133.62,0.00,0.00,0.00,0.00,0
1765784976.36,0,0,136.06,0.00,0.00,0.00,0.00,0
1765784977.38,0,0,130.00,0.00,0.00,0.00,0.00,0
1765784978.40,0,0,114.62,0.00,0.00,0.00,0.00,0
1765784979.42,0,0,32.94,0.00,0.00,0.00,0.00,0
1765784980.44,0,0,34.00,0.00,0.00,0.00,0.00,0
1765784981.46,0,0,10.31,0.00,0.00,0.00,0.00,0
1765784982.49,0,0,47.50,0.00,0.00,0.00,0.00,0
1765784983.52,0,0,56.38,0.00,0.00,0.00,0.00,0
1765784984.54,0,0,73.06,0.00,0.00,0.00,0.00,0
1765784985.56,0,0,73.62,0.00,0.00,0.00,0.00,0
1765784986.58,0,0,81.31,0.00,0.00,0.00,0.00,0
1765784987.60,0,0,96.81,0.00,0.00,0.00,0.00,0
1765784988.63,0,0,112.62,0.00,0.00,0.00,0.00,0
1765784989.66,0,0,131.81,0.00,0.00,0.00,0.00,0
1765784990.68,0,0,121.75,0.00,0.00,0.00,0.00,0
1765784991.70,0,0,110.06,0.00,0.00,0.00,0.00,0
1765784992.72,0,0,111.38,0.00,0.00,0.00,0.00,0
1765784993.74,0,0,118.38,0.00,0.00,0.00,0.00,0
1765784994.77,0,0,112.69,0.00,0.00,0.00,0.00,0
1765784995.79,0,0,119.56,0.00,0.00,0.00,0.00,0
1765784996.81,0,0,118.06,0.00,0.00,0.00,0.00,0
1765784997.91,0,0,109.94,0.00,0.00,0.00,0.00,0
1765784998.93,0,0,101.88,0.00,0.00,0.00,0.00,0
1765784999.96,0,0,81.31,0.00,0.00,0.00,0.00,0
1765785000.98,0,0,73.75,0.00,0.00,0.00,0.00,0
1765785002.00,0,0,68.50,0.00,0.00,0.00,0.00,0
1765785003.03,0,0,62.56,0.00,0.00,0.00,0.00,0
1765785004.05,0,0,63.88,0.00,0.00,0.00,0.00,0
1765785005.08,0,0,69.00,0.00,0.00,0.00,0.00,0
1765785006.10,0,0,78.62,0.00,0.00,0.00,0.00,0
1765785007.12,0,0,84.75,0.00,0.00,0.00,0.00,0
1765785008.15,0,0,107.56,0.00,0.00,0.00,0.00,0
1765785009.17,0,0,124.56,0.00,0.00,0.00,0.00,0
1765785010.19,0,0,119.12,0.00,0.00,0.00,0.00,0
1765785011.22,0,0,109.44,0.00,0.00,0.00,0.00,0
1765785012.24,0,0,88.69,0.00,0.00,0.00,0.00,0
1765785013.26,0,0,50.06,0.00,0.00,0.00,0.00,0
1765785014.29,0,0,53.44,0.00,0.00,0.00,0.00,0
1765785015.31,0,0,63.19,0.00,0.00,0.00,0.00,0
1765785016.33,0,0,79.62,0.00,0.00,0.00,0.00,0
1765785017.36,0,0,84.31,0.00,0.00,0.00,0.00,0
1765785018.38,0,0,93.75,0.00,0.00,0.00,0.00,0
1765785019.40,0,0,99.12,0.00,0.00,0.00,0.00,0
1765785020.43,0,0,105.50,0.00,0.00,0.00,0.00,0
1765785021.45,0,0,117.69,0.00,0.00,0.00,0.00,0
1765785022.48,0,0,130.19,0.00,0.00,0.00,0.00,0
1765785023.50,0,0,129.56,0.00,0.00,0.00,0.00,0
1765785024.53,0,0,128.81,0.00,0.00,0.00,0.00,0
1765785025.55,0,0,131.88,0.00,0.00,0.00,0.00,0
1765785026.57,0,0,121.19,0.00,0.00,0.00,0.00,0
1765785027.60,0,0,116.56,0.00,0.00,0.00,0.00,0
1765785028.63,0,0,121.19,0.00,0.00,0.00,0.00,0
1765785029.66,0,0,118.88,0.00,0.00,0.00,0.00,0
1765785030.68,0,0,126.38,0.00,0.00,0.00,0.00,0
1765785031.71,0,0,123.88,0.00,0.00,0.00,0.00,0
1765785032.73,0,0,120.38,0.00,0.00,0.00,0.00,0
1765785033.76,0,0,105.19,0.00,0.00,0.00,0.00,0
1765785034.79,0,0,107.75,0.00,0.00,0.00,0.00,0
1765785035.82,0,0,115.12,0.00,0.00,0.00,0.00,0
1765785036.84,0,0,123.19,0.00,0.00,0.00,0.00,0
1765785037.86,0,0,118.75,0.00,0.00,0.00,0.00,0
1765785038.89,0,0,46.06,0.00,0.00,0.00,0.00,0
1765785039.92,0,0,15.00,0.00,0.00,0.00,0.00,0
1765785040.95,0,0,11.00,0.00,0.00,0.00,0.00,0
1765785041.98,0,0,1.06,0.00,0.00,0.00,0.00,0
1765785043.00,0,0,354.62,0.00,0.00,0.00,0.00,0
1765785044.03,0,0,2.12,0.00,0.00,0.00,0.00,0
1765785045.06,0,0,356.25,0.00,0.00,0.00,0.00,0
1765785046.09,0,0,357.50,0.00,0.00,0.00,0.00,0
1765785047.12,0,0,37.69,0.00,0.00,0.00,0.00,0
1765785048.14,0,0,56.62,0.00,0.00,0.00,0.00,0
1765785049.16,0,0,65.06,0.00,0.00,0.00,0.00,0
1765785050.19,0,0,73.56,0.00,0.00,0.00,0.00,0
1765785051.22,0,0,69.88,0.00,0.00,0.00,0.00,0
1765785052.25,0,0,71.81,0.00,0.00,0.00,0.00,0
1765785053.27,0,0,61.56,0.00,0.00,0.00,0.00,0
1765785054.30,0,0,64.06,0.00,0.00,0.00,0.00,0
1765785055.32,0,0,61.25,0.00,0.00,0.00,0.00,0
1765785056.35,0,0,61.81,0.00,0.00,0.00,0.00,0
1765785057.38,0,0,25.06,0.00,0.00,0.00,0.00,0
1765785058.41,0,0,5.19,0.00,0.00,0.00,0.00,0
1765785059.43,0,0,64.06,0.00,0.00,0.00,0.00,0
1765785060.46,0,0,77.00,0.00,0.00,0.00,0.00,0
1765785061.49,0,0,79.44,0.00,0.00,0.00,0.00,0
1765785062.53,0,0,73.25,0.00,0.00,0.00,0.00,0
1765785063.56,0,0,70.94,0.00,0.00,0.00,0.00,0
1765785064.59,0,0,47.94,0.00,0.00,0.00,0.00,0
1765785065.62,0,0,46.69,0.00,0.00,0.00,0.00,0
1765785066.65,0,0,39.38,0.00,0.00,0.00,0.00,0
1765785067.68,0,0,34.12,0.00,0.00,0.00,0.00,0
1765785068.72,0,0,42.50,0.00,0.00,0.00,0.00,0
1765785069.75,0,0,45.62,0.00,0.00,0.00,0.00,0
1765785070.78,0,0,37.56,0.00,0.00,0.00,0.00,0
1765785071.81,0,0,39.62,0.00,0.00,0.00,0.00,0
1765785072.84,0,0,48.38,0.00,0.00,0.00,0.00,0
1765785073.88,0,0,53.25,0.00,0.00,0.00,0.00,0
1765785074.91,0,0,59.62,0.00,0.00,0.00,0.00,0
1765785075.94,0,0,62.25,0.00,0.00,0.00,0.00,0
1765785076.98,0,0,54.00,0.00,0.00,0.00,0.00,0
1765785078.01,0,0,55.31,0.00,0.00,0.00,0.00,0
1765785079.04,0,0,57.12,0.00,0.00,0.00,0.00,0
1765785080.07,0,0,51.31,0.00,0.00,0.00,0.00,0
1765785081.10,0,0,38.62,0.00,0.00,0.00,0.00,0
1765785082.13,0,0,57.62,0.00,0.00,0.00,0.00,0
1765785083.17,0,0,60.25,0.00,0.00,0.00,0.00,0
1765785084.19,0,0,62.50,0.00,0.00,0.00,0.00,0
1765785085.23,0,0,63.75,0.00,0.00,0.00,0.00,0
1765785086.26,0,0,60.56,0.00,0.00,0.00,0.00,0
1765785087.29,0,0,50.94,0.00,0.00,0.00,0.00,0
1765785088.32,0,0,55.12,0.00,0.00,0.00,0.00,0
1765785089.35,0,0,55.06,0.00,0.00,0.00,0.00,0
1765785090.38,0,0,70.06,0.00,0.00,0.00,0.00,0
1765785091.42,0,0,69.94,0.00,0.00,0.00,0.00,0
1765785092.46,0,0,71.94,0.00,0.00,0.00,0.00,0
1765785093.49,0,0,72.75,0.00,0.00,0.00,0.00,0
1765785094.52,0,0,80.81,0.00,0.00,0.00,0.00,0
1765785095.55,0,0,84.50,0.00,0.00,0.00,0.00,0
1765785096.58,0,0,76.88,0.00,0.00,0.00,0.00,0
1765785097.62,0,0,85.94,0.00,0.00,0.00,0.00,0
1765785098.65,0,0,83.50,0.00,0.00,0.00,0.00,0
1765785099.68,0,0,281.69,0.00,0.00,0.00,0.00,0
1765785100.71,0,0,33.69,0.00,0.00,0.00,0.00,0
1765785101.74,0,0,68.25,0.00,0.00,0.00,0.00,0
1765785102.78,0,0,96.56,0.00,0.00,0.00,0.00,0
1765785103.82,0,0,103.62,0.00,0.00,0.00,0.00,0
1765785104.85,0,0,112.50,0.00,0.00,0.00,0.00,0
1765785105.88,0,0,101.75,0.00,0.00,0.00,0.00,0
1765785106.90,0,0,99.88,0.00,0.00,0.00,0.00,0
1765785107.94,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785108.98,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785110.01,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785111.04,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785112.07,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785113.10,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785114.14,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785115.17,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785116.20,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785117.23,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785118.26,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785119.30,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785120.34,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785121.37,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785122.40,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785123.43,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785124.46,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785125.50,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785126.53,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785127.56,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785128.59,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785129.62,0,0,99.81,0.00,0.00,0.00,0.00,0
1765785130.65,0,0,135.50,0.00,0.00,0.00,0.00,0
1765785131.69,0,0,138.25,0.00,0.00,0.00,0.00,0
1765785132.72,0,0,147.81,0.00,0.00,0.00,0.00,0
1765785133.75,0,0,149.44,0.00,0.00,0.00,0.00,0
1765785134.79,0,0,155.31,0.00,0.00,0.00,0.00,0
1765785135.82,0,0,151.38,0.00,0.00,0.00,0.00,0
1765785136.85,0,0,149.94,0.00,0.00,0.00,0.00,0
1765785137.89,0,0,147.44,0.00,0.00,0.00,0.00,0
1765785138.92,0,0,148.94,0.00,0.00,0.00,0.00,0
1765785139.95,0,0,157.19,0.00,0.00,0.00,0.00,0
1765785140.98,0,0,158.81,0.00,0.00,0.00,0.00,0
1765785142.01,0,0,157.06,0.00,0.00,0.00,0.00,0
1765785143.05,0,0,162.50,0.00,0.00,0.00,0.00,0
1765785144.08,0,0,155.44,0.00,0.00,0.00,0.00,0
1765785145.11,0,0,157.44,0.00,0.00,0.00,0.00,0
1765785146.14,0,0,156.94,0.00,0.00,0.00,0.00,0
1765785147.16,0,0,155.00,0.00,0.00,0.00,0.00,0
1765785148.20,0,0,148.75,0.00,0.00,0.00,0.00,0
1765785149.24,0,0,143.56,0.00,0.00,0.00,0.00,0
1765785150.27,0,0,113.00,0.00,0.00,0.00,0.00,0
1765785151.30,0,0,144.62,0.00,0.00,0.00,0.00,0
1765785152.33,0,0,160.56,0.00,0.00,0.00,0.00,0
1765785153.35,0,0,163.25,0.00,0.00,0.00,0.00,0
1765785154.39,0,0,172.00,0.00,0.00,0.00,0.00,0
1765785155.42,0,0,174.62,0.00,0.00,0.00,0.00,0
1765785156.46,0,0,174.31,0.00,0.00,0.00,0.00,0
1765785157.48,0,0,170.44,0.00,0.00,0.00,0.00,0
1765785158.51,0,0,173.12,0.00,0.00,0.00,0.00,0
1765785159.54,0,0,174.25,0.00,0.00,0.00,0.00,0
1765785160.59,0,0,165.94,0.00,0.00,0.00,0.00,0
1765785161.62,0,0,164.44,0.00,0.00,0.00,0.00,0
1765785162.65,0,0,161.94,0.00,0.00,0.00,0.00,0
1765785163.68,0,0,164.31,0.00,0.00,0.00,0.00,0
1765785164.71,0,0,168.50,0.00,0.00,0.00,0.00,0
1765785165.74,0,0,150.81,0.00,0.00,0.00,0.00,0
1765785166.78,0,0,142.50,0.00,0.00,0.00,0.00,0
1765785167.81,0,0,153.94,0.00,0.00,0.00,0.00,0
1765785168.84,0,0,180.62,0.00,0.00,0.00,0.00,0
1765785169.86,0,0,180.25,0.00,0.00,0.00,0.00,0
1765785170.90,0,0,202.38,0.00,0.00,0.00,0.00,0
1765785171.93,0,0,200.75,0.00,0.00,0.00,0.00,0
1765785172.96,0,0,191.94,0.00,0.00,0.00,0.00,0
1765785173.99,0,0,211.12,0.00,0.00,0.00,0.00,0
1765785175.03,0,0,222.62,0.00,0.00,0.00,0.00,0
1765785176.06,0,0,240.75,0.00,0.00,0.00,0.00,0
1765785177.09,0,0,255.94,0.00,0.00,0.00,0.00,0
1765785178.13,0,0,270.12,0.00,0.00,0.00,0.00,0
1765785179.16,0,0,285.12,0.00,0.00,0.00,0.00,0
1765785180.18,0,0,310.69,0.00,0.00,0.00,0.00,0
1765785181.21,0,0,285.75,0.00,0.00,0.00,0.00,0
1765785182.24,0,0,294.31,0.00,0.00,0.00,0.00,0
1765785183.28,0,0,307.62,0.00,0.00,0.00,0.00,0
1765785184.32,0,0,296.25,0.00,0.00,0.00,0.00,0
1765785185.35,0,0,303.88,0.00,0.00,0.00,0.00,0
1765785186.38,0,0,328.19,0.00,0.00,0.00,0.00,0
1765785187.41,0,0,15.44,0.00,0.00,0.00,0.00,0
1765785188.44,0,0,20.69,0.00,0.00,0.00,0.00,0
1765785189.48,0,0,34.38,0.00,0.00,0.00,0.00,0
1765785190.51,0,0,354.88,0.00,0.00,0.00,0.00,0
1765785191.54,0,0,311.50,0.00,0.00,0.00,0.00,0
1765785192.57,0,0,321.31,0.00,0.00,0.00,0.00,0
1765785193.59,0,0,314.38,0.00,0.00,0.00,0.00,0
1765785194.63,0,0,323.81,0.00,0.00,0.00,0.00,0
1765785195.66,0,0,329.75,0.00,0.00,0.00,0.00,0
1765785196.69,0,0,346.38,0.00,0.00,0.00,0.00,0
1765785197.72,0,0,348.62,0.00,0.00,0.00,0.00,0
1765785198.75,0,0,351.06,0.00,0.00,0.00,0.00,0
1765785199.78,0,0,352.12,0.00,0.00,0.00,0.00,0
1765785200.82,0,0,347.19,0.00,0.00,0.00,0.00,0
1765785201.85,0,0,349.69,0.00,0.00,0.00,0.00,0
1765785202.88,0,0,339.62,0.00,0.00,0.00,0.00,0
1765785203.91,0,0,337.31,0.00,0.00,0.00,0.00,0
1765785204.94,0,0,327.56,0.00,0.00,0.00,0.00,0
1765785205.97,0,0,332.31,0.00,0.00,0.00,0.00,0
1765785207.02,0,0,334.44,0.00,0.00,0.00,0.00,0
1765785208.05,0,0,354.56,0.00,0.00,0.00,0.00,0
1765785209.07,0,0,341.00,0.00,0.00,0.00,0.00,0
1765785210.11,0,0,25.31,0.00,0.00,0.00,0.00,0
1765785211.13,0,0,29.25,0.00,0.00,0.00,0.00,0
1765785212.17,0,0,33.50,0.00,0.00,0.00,0.00,0
1765785213.20,0,0,31.25,0.00,0.00,0.00,0.00,0
1765785214.24,0,0,27.88,0.00,0.00,0.00,0.00,0
1765785215.27,0,0,357.25,0.00,0.00,0.00,0.00,0
1765785216.30,0,0,333.94,0.00,0.00,0.00,0.00,0
1765785217.33,0,0,318.25,0.00,0.00,0.00,0.00,0
1765785218.37,0,0,326.81,0.00,0.00,0.00,0.00,0
1765785219.40,0,0,342.00,0.00,0.00,0.00,0.00,0
1765785220.43,0,0,359.50,0.00,0.00,0.00,0.00,0
1765785221.46,0,0,5.69,0.00,0.00,0.00,0.00,0
1765785222.49,0,0,14.31,0.00,0.00,0.00,0.00,0
1765785223.53,0,0,3.94,0.00,0.00,0.00,0.00,0
1765785224.56,0,0,354.38,0.00,0.00,0.00,0.00,0
1765785225.59,0,0,5.94,0.00,0.00,0.00,0.00,0
1765785226.62,0,0,357.31,0.00,0.00,0.00,0.00,0
1765785227.65,0,0,359.44,0.00,0.00,0.00,0.00,0
1765785228.69,0,0,1.31,0.00,0.00,0.00,0.00,0
1765785229.72,0,0,357.44,0.00,0.00,0.00,0.00,0
1765785230.76,0,0,350.81,0.00,0.00,0.00,0.00,0
1765785231.79,0,0,346.75,0.00,0.00,0.00,0.00,0
1765785232.82,0,0,340.00,0.00,0.00,0.00,0.00,0
1765785233.84,0,0,345.62,0.00,0.00,0.00,0.00,0
1765785234.88,0,0,348.62,0.00,0.00,0.00,0.00,0
1765785235.92,0,0,355.25,0.00,0.00,0.00,0.00,0
1765785236.95,0,0,351.62,0.00,0.00,0.00,0.00,0
1765785237.98,0,0,353.44,0.00,0.00,0.00,0.00,0
1765785239.01,0,0,344.62,0.00,0.00,0.00,0.00,0
1765785240.04,0,0,339.88,0.00,0.00,0.00,0.00,0
1765785241.08,0,0,329.88,0.00,0.00,0.00,0.00,0
1765785242.12,0,0,317.69,0.00,0.00,0.00,0.00,0
1765785243.15,0,0,322.75,0.00,0.00,0.00,0.00,0
1765785244.17,0,0,326.69,0.00,0.00,0.00,0.00,0
1765785245.20,0,0,331.25,0.00,0.00,0.00,0.00,0
1765785246.23,0,0,324.88,0.00,0.00,0.00,0.00,0
1765785247.27,0,0,314.12,0.00,0.00,0.00,0.00,0
1765785248.30,0,0,316.56,0.00,0.00,0.00,0.00,0
1765785249.33,0,0,322.25,0.00,0.00,0.00,0.00,0
1765785250.36,0,0,331.25,0.00,0.00,0.00,0.00,0
1765785251.39,0,0,333.56,0.00,0.00,0.00,0.00,0
1765785252.43,0,0,331.62,0.00,0.00,0.00,0.00,0
1765785253.46,0,0,329.25,0.00,0.00,0.00,0.00,0
1765785254.49,0,0,307.50,0.00,0.00,0.00,0.00,0
1765785255.52,0,0,219.69,0.00,0.00,0.00,0.00,0
1765785256.55,0,0,117.50,0.00,0.00,0.00,0.00,0
1765785257.58,0,0,108.81,0.00,0.00,0.00,0.00,0
1765785258.62,0,0,110.62,0.00,0.00,0.00,0.00,0
1765785259.65,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785260.68,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785261.71,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785262.74,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785263.78,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785264.82,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785265.85,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785266.88,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785267.91,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785268.94,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785269.98,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785271.02,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785272.05,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785273.08,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785274.11,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785275.15,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785276.18,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785277.24,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785278.27,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785279.30,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785280.33,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785281.38,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785282.41,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785283.44,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785284.47,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785285.50,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785286.54,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785287.57,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785288.60,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785289.63,0,0,110.81,0.00,0.00,0.00,0.00,0
1765785290.66,0,0,110.81,0.00,0.00,0.00,0.00,0
